,version,rsi,is_quarter_mode,is_ma_cut,start,end,duration,initial_capital,cash,balance_status,profit,profit_ratio,max_drawdown,total_profit,total_loss,profit_loss_ratio,win_count,lose_count,win_rate,exhaust_count,quarter_count,ma_cut_count,avg_daily_profit_ratio,avg_monthly_profit_ratio,avg_annual_profit_ratio
22,v2.2,65,False,False,2009-07-16,2024-02-26,3678,100000,217756.35562263647,454012.8648351304,354012.8648351304,354.0128648351304,37.32646073143616,671130.0667004199,-200292.59432704956,3.350748283806036,553,80,87.36176935229068,6,0,0,0.09625145862836607,1.9811758567672015,23.77411028120642
23,slowly,65,False,False,2009-07-16,2024-02-26,3678,100000,238276.60555174126,380418.3290615298,280418.3290615298,280.4183290615298,21.99127391640475,356386.3531611123,-31524.318507604286,11.30512474282814,429,24,94.70198675496688,0,0,0,0.07624206880411359,1.5693159162180048,18.831790994616057
24,v1,60,False,False,2009-07-16,2024-02-26,3678,100000,286491.58497670776,510801.09473470337,410801.09473470337,410.8010947347034,47.10544459327023,737960.7206624273,0.0,inf,55,0,100.0,10,0,0,0.11169143413124072,2.2989820192013712,27.587784230416457
25,v2.2,60,False,False,2009-07-16,2024-02-26,3678,100000,238274.03392727347,496797.9121230361,396797.9121230361,396.7979121230361,33.51099384308876,684060.7141490029,-171235.0590300022,3.9948636571506557,536,73,88.01313628899837,4,0,0,0.10788415229011314,2.2206154679714953,26.647385615657946
26,slowly,60,False,False,2009-07-16,2024-02-26,3678,100000,235178.9437028084,375537.80729400256,275537.80729400256,275.53780729400256,21.99113250182066,345271.0389211964,-27283.23607850473,12.655061808933302,423,21,95.27027027027027,0,0,0,0.07491511889450858,1.5420028639119685,18.50403436694362
27,v1,55,False,False,2009-07-16,2024-02-26,3678,100000,266769.90814354055,489057.61799385183,389057.61799385183,389.0576179938518,48.14211731119467,712458.083740944,0.0,inf,55,0,100.0,10,0,0,0.10577966775254263,2.1772981612398357,26.12757793487803
28,v2.2,55,False,False,2009-07-16,2024-02-26,3678,100000,246020.11949632008,498175.3279828771,398175.3279828771,398.1753279828771,27.43212070383366,608069.1238113195,-113763.3866651069,5.345033596805045,492,68,87.85714285714286,4,0,0,0.10825865361144021,2.2283239535021444,26.739887442025733
29,slowly,55,False,False,2009-07-16,2024-02-26,3678,100000,221369.65275059006,343688.5471654918,243688.5471654918,243.6885471654918,23.999513241756894,304834.50476155174,-24400.822791489354,12.49279613914796,389,20,95.11002444987776,0,0,0,0.0662557224484752,1.3637636203977814,16.365163444773376
30,v1,50,False,False,2009-07-16,2024-02-26,3678,100000,251766.1654524529,466251.56565901876,366251.56565901876,366.25156565901875,48.505319710634815,677393.8685152754,0.0,inf,53,0,100.0,10,0,0,0.09957900099483924,2.049667770477108,24.596013245725292
31,v2.2,50,False,False,2009-07-16,2024-02-26,3678,100000,292729.70495985245,432886.38856027817,332886.38856027817,332.88638856027814,28.88944293620561,486884.85541054816,-83886.80899422825,5.8040693316162235,451,56,88.95463510848126,4,0,0,0.09050744659061397,1.8629449423234707,22.35533930788165
32,slowly,50,False,False,2009-07-16,2024-02-26,3678,100000,224668.810114544,310825.05618063745,210825.05618063745,210.82505618063743,23.99807948613147,262074.6649203921,-20925.97530182001,12.523892489617843,344,20,94.5054945054945,0,0,0,0.05732056992404499,1.1798483976032592,14.158180771239111
33,v1,45,False,False,2009-07-16,2024-02-26,3678,100000,203311.83097847737,384409.9627095107,284409.9627095107,284.4099627095107,49.23246253618189,546729.0862289306,0.0,inf,57,0,100.0,10,0,0,0.07732734168284686,1.5916544496385978,19.099853395663175
34,v2.2,45,False,False,2009-07-16,2024-02-26,3678,100000,223835.21500946867,330981.42011715757,230981.42011715757,230.98142011715757,25.43154717646688,329592.1294155542,-53499.91438155027,6.160610408924613,358,37,90.63291139240506,4,0,0,0.06280082113027666,1.2926502349315279,15.511802819178333
35,slowly,45,False,False,2009-07-16,2024-02-26,3678,100000,187474.08933165515,259358.26604941333,159358.26604941333,159.35826604941332,20.096649196491878,192425.04604099834,-11837.256532305759,16.25588205475143,280,14,95.23809523809523,0,0,0,0.04332742415699112,0.8918228138980672,10.701873766776806
36,v1,40,False,False,2009-07-16,2024-02-26,3678,100000,210453.33455332767,353247.5480333234,253247.54803332337,253.2475480333234,44.65462657757941,461525.33198948536,0.0,inf,51,0,100.0,10,0,0,0.06885468951422603,1.417259025834486,17.00710831001383
37,v2.2,40,False,False,2009-07-16,2024-02-26,3678,100000,198474.91156483573,257630.93886376303,157630.93886376303,157.63093886376302,23.70386650310175,220699.1350844822,-33361.48422501927,6.615387181094601,289,28,91.16719242902208,3,0,0,0.04285778653174633,0.8821561061117786,10.585873273341344
38,slowly,40,False,False,2009-07-16,2024-02-26,3678,100000,189644.22966349067,205478.5989404911,105478.5989404911,105.4785989404911,20.109867845447987,127253.29021159609,-7466.710889640584,17.042750428190413,209,12,94.57013574660633,0,0,0,0.028678248760329282,0.5902939536501111,7.083527443801333
39,v1,35,False,False,2009-07-16,2024-02-26,3678,100000,169644.81335502706,285466.3780665978,185466.3780665978,185.4663780665978,44.759653825135224,353143.2894880016,0.0,inf,36,0,100.0,10,0,0,0.0504258776690043,1.037932648687005,12.455191784244061
40,v2.2,35,False,False,2009-07-16,2024-02-26,3678,100000,190563.086268201,190563.086268201,90563.086268201,90.563086268201,23.85175633369834,127803.75462080045,-20289.46847768448,6.299019353876438,190,18,91.34615384615384,1,0,0,0.024622916331756665,0.5068216944953247,6.081860333943896
41,slowly,35,False,False,2009-07-16,2024-02-26,3678,100000,180236.91340582128,180236.91340582128,80236.91340582128,80.23691340582127,13.201648473094119,89431.460170086,-664.7770299592052,134.5285052577314,147,3,98.0,0,0,0,0.021815365254437544,0.44903293482050616,5.388395217846074
42,v1,30,False,False,2009-07-16,2024-02-26,3678,100000,62096.507154598294,257181.81824697502,157181.81824697502,157.181818246975,35.908341852559865,190783.81640742673,0.0,inf,21,0,100.0,9,0,0,0.04273567652174416,0.8796426750725673,10.555712100870808
43,v2.2,30,False,False,2009-07-16,2024-02-26,3678,100000,157949.7265878523,157949.7265878523,57949.72658785229,57.94972658785229,16.044370856407124,70368.5509893551,-4203.133973769494,16.74192434228941,122,6,95.3125,0,0,0,0.0157557712310637,0.32430629117272786,3.891675494072734
44,slowly,30,False,False,2009-07-16,2024-02-26,3678,100000,144541.17889893622,144541.17889893622,44541.178898936225,44.541178898936224,12.391398965328396,49215.42557009312,-186.94657577320118,263.2593047855555,89,1,98.88888888888889,0,0,0,0.01211016283277222,0.24926751830789487,2.9912102196947385
